SESSION NAME:	MS0811 GABO S9E01 Music Cue Sheet Domestic
SAMPLE RATE:	48000.000000
BIT DEPTH:	24-bit
SESSION START TIMECODE:	00:00:00:00
TIMECODE FORMAT:	25 Frame
# OF AUDIO TRACKS:	446
# OF AUDIO CLIPS:	34922
# OF AUDIO FILES:	7165


T R A C K  L I S T I N G
TRACK NAME:	MX a1 (Stereo)
COMMENTS:	
USER DELAY:	0 Samples
STATE: 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	60      	Organic Orchestral 00_MIX_Howe.wav.new.01-05	   00:37:28:10	   00:37:40:06	   00:00:11:21	Unmuted
1       	61      	GBBO_Caramelised Pizz v2.00_Mallets_TH.wav.new.01-08	   00:37:58:10	   00:38:12:14	   00:00:14:04	Unmuted
1       	62      	Energy of Baking 00_MIX_Howe.wav.new.01-25	   00:38:32:12	   00:39:33:01	   00:01:00:14	Unmuted
1       	63      	More Dragons 00_MIX_Howe.wav.new.01-04	   00:40:20:07	   00:40:51:10	   00:00:31:03	Unmuted
1       	64      	GBBO 11_Bun In The Oven v1.03_2mx_TH.wav.new.01-05	   00:41:08:17	   00:41:26:20	   00:00:18:03	Unmuted
1       	65      	GBBO 11_Bun In The Oven v1.03_2mx_TH.wav.new.02-05	   00:41:32:06	   00:41:49:02	   00:00:16:21	Unmuted
1       	66      	GABO4_QUIRKY_RUSH HOUR_603_CT_FULL.wav.new.01-17	   00:42:19:19	   00:42:41:24	   00:00:22:04	Unmuted
1       	67      	GBBO14_Baked Mushroom Starter v1.03_TIDEWAY 2mx_FULL MIX.wav.new.01-05	   00:43:40:03	   00:44:25:04	   00:00:45:01	Unmuted
1       	68      	GBBO_Over Baked v1.01_2mx_TH.wav.new.01-04	   00:44:41:10	   00:45:09:20	   00:00:28:09	Unmuted
1       	69      	GBBO_Cinnamon Twist v1.02_2mx_TH.wav.new.01-16	   00:45:24:24	   00:45:57:14	   00:00:32:15	Unmuted
1       	70      	Dragon Strings 00_MIX_Howe.wav.new.01-04	   00:46:24:15	   00:46:52:09	   00:00:27:19	Unmuted
1       	71      	GBBO 11_Melting Meringues v1.02_2mx_TH.wav.new.01-10	   00:48:04:05	   00:48:42:00	   00:00:37:20	Unmuted
1       	72      	GBBO 12_Petit Fours v1.05 TIDEWAY_Perc Mallets.wav.new.01-13	   00:50:00:14	   00:50:05:09	   00:00:04:19	Unmuted
1       	73      	Egg Timer Bake 00_MIX_Howe.wav.new.01-09	   00:50:12:07	   00:51:15:12	   00:01:03:05	Unmuted
1       	74      	GBBO 11_GBBO_Soggy Bottoms Up v2.01_2mx_TH.wav.new.01-13	   00:51:24:12	   00:52:07:15	   00:00:43:03	Unmuted
1       	75      	GABO_QUIRKY_STICKYBEAKS_604_CT_10 noPNOnSTGnMARIMBAnGTR.wav.new.01-05	   00:52:28:24	   00:52:53:24	   00:00:25:00	Unmuted
1       	76      	GBBO 12_Sticky Parchment Paper v1.03 TIDEWAY_2mx.wav.new.01-09	   00:53:14:10	   00:53:35:08	   00:00:20:23	Unmuted
1       	77      	GABO_ACTION_CHEFS_604_V2_CT_01 FULL.wav.new.01-05	   00:54:13:04	   00:54:25:17	   00:00:12:13	Unmuted
1       	78      	GABO_ACTION_CHEFS_604_V2_CT_01 FULL.wav.new.02-12	   00:54:38:19	   00:55:05:19	   00:00:26:24	Unmuted
1       	79      	GBBO 12_Neutral Croissant v1.01 TIDEWAY_2mx.wav.new.01-16	   00:56:24:22	   00:57:08:17	   00:00:43:20	Unmuted
1       	80      	GABO_TENSION_Bake the Tension_107_DH_01 FULL.wav.new.01-04	   00:57:38:16	   00:57:59:14	   00:00:20:23	Unmuted
1       	81      	GABO_TENSE_BURNT_609_CT_01 FULL.wav.new.01-04	   00:59:50:16	   01:00:09:24	   00:00:19:08	Unmuted
1       	82      	GABO_POSITIVE_CANDLE_014_AA_07 noSTR.wav.new.01-04	   01:00:51:07	   01:01:29:00	   00:00:37:18	Unmuted
1       	83      	GBBO 11_The Happy Blender v1.04_2mx_TH.wav.new.01-10	   01:02:17:24	   01:03:21:22	   00:01:03:23	Unmuted
1       	84      	Win Some Lose Some 00_MIX_Howe.wav.new.01-04	   01:03:53:19	   01:04:03:18	   00:00:09:24	Unmuted
1       	85      	Win Some Lose Some 00_MIX_Howe.wav.new.02-14	   01:04:22:03	   01:05:25:11	   00:01:03:08	Unmuted


2       	1       	GABO_S8_EP01_FOXTEL_HD_MASTER_CLEAN.new.02-09	   00:00:07:00	   00:00:12:23	   00:00:05:22	Unmuted
2       	2       	PRI_POSITIVE TASKING_Whisk Away_Melany Thompson (APRA)_NoShaker.wav.new.02-16	   00:00:17:17	   00:00:31:04	   00:00:13:12	Unmuted
2       	3       	Rising Tension Bake 02_Harp_Howe.wav.new.01-10	   00:01:42:15	   00:01:54:07	   00:00:11:17	Unmuted
2       	4       	GABO_START_SUN_018_AA_noDRMFX.wav.new.01-23	   00:02:16:23	   00:02:32:19	   00:00:15:21	Unmuted
2       	5       	GBBO 12_Sticky Parchment Paper v1.03 TIDEWAY_2mx.wav.new.04-08	   00:02:47:11	   00:02:53:02	   00:00:05:15	Unmuted
2       	6       	GBBO 12_Sticky Parchment Paper v1.03 TIDEWAY_Brass Short.wav.new.01-11	   00:02:57:17	   00:03:01:06	   00:00:03:13	Unmuted
2       	7       	Orchestral Winners and Losers 07_WWs_Howe.wav.new.01-09	   00:03:01:23	   00:03:17:24	   00:00:16:00	Unmuted
2       	8       	Titles 00_MIX_Howe.wav.new.01-07	   00:03:40:05	   00:04:12:06	   00:00:32:01	Unmuted
2       	9       	Energy of Baking 00_MIX_Howe.wav.new.01-28	   00:05:20:22	   00:06:23:13	   00:01:02:16	Unmuted
2       	10      	Holding Bake ALT 02_LOW STRINGS_Howe.wav.new.01-09	   00:06:45:07	   00:06:56:22	   00:00:11:15	Unmuted
2       	11      	GABO_Simon says be silly_108_DH_03 noDRM.wav.new.01-04	   00:07:00:04	   00:07:11:18	   00:00:11:14	Unmuted
2       	12      	GBBO_Caramelised Pizz V2.00_2mx_TH.wav.new.01-07	   00:07:23:06	   00:07:32:21	   00:00:09:15	Unmuted
2       	13      	GBBO_Caramelised Pizz v1.01_2mx_TH.wav.new.01-07	   00:07:36:01	   00:07:47:08	   00:00:11:07	Unmuted
2       	14      	GABO4_QUIRKY_M&M's_602_CT_noDRMnBSS.wav.new.01-04	   00:08:10:20	   00:08:19:07	   00:00:08:11	Unmuted
2       	15      	GABO_POS_JOURNEY_601_CT_10 noSTGnMARIMBA.wav.new.01-04	   00:09:14:15	   00:09:29:15	   00:00:15:00	Unmuted
2       	16      	GBBO_Rising Bread v1.02_2mx_TH.wav.new.01-04	   00:09:42:17	   00:09:53:24	   00:00:11:07	Unmuted
2       	17      	GBBO 11_The Happy Blender v1.04_2mx_TH.wav.new.01-09	   00:10:16:21	   00:10:30:14	   00:00:13:18	Unmuted
2       	18      	Light Baking 00_MIX_Howe.wav.new.01-04	   00:10:32:14	   00:10:49:11	   00:00:16:22	Unmuted
