SESSION NAME:,MS0811 GABO S9E01 Music Cue Sheet Domestic
SAMPLE RATE:,48000.000000
BIT DEPTH:,24-bit
SESSION START TIMECODE:,00:00:00:00
TIMECODE FORMAT:,25 Frame

No.,Name,Timecode In,Timecode Out,Duration
117,GBBO14_Baked Mushroom Starter v1.03_TIDEWAY 2mx,00:43:40:03,00:44:25:04,00:00:45:01
118,GBBO_Over Baked v1.01_2mx_TH.wav.new,00:44:41:10,00:45:09:20,00:00:28:10
119,GBBO_Cinnamon Twist v1.02_2mx_TH.wav.new,00:45:24:24,00:45:57:14,00:00:32:15
120,Dragon Strings 00_MIX_Howe.wav.new,00:46:24:15,00:46:52:09,00:00:27:19
121,Rising Tension Bake Xmas_CYMBALS_Howe.wav.new,00:46:50:07,00:46:56:00,00:00:05:18
122,GBBO Light Busy Tension_Hi Perc & Cymbals_Howe.wav.new,00:46:50:21,00:46:57:07,00:00:06:11
123,Dragon Strings 03_MALLETS_Howe.wav.new,00:46:51:18,00:46:58:24,00:00:07:06
124,GBBO 11_Melting Meringues v1.02_2mx_TH.wav.new,00:48:04:05,00:48:42:00,00:00:37:20
125,GBBO 12_Petit Fours v1.05 TIDEWAY,00:49:01:07,00:50:09:14,00:01:08:07
126,Egg Timer Bake 00_MIX_Howe.wav.new,00:50:12:07,00:51:15:12,00:01:03:05
127,Emotive Bake 00_MIX_Howe.wav.new,00:51:08:04,00:51:25:13,00:00:17:09
128,Elefat107_Trk8_Cymbal_H_Sam_Music-05.,00:51:18:21,00:51:30:21,00:00:12:00
129,GBBO 11_GBBO_Soggy Bottoms Up v2.01_2mx_TH.wav.new,00:51:24:12,00:52:07:15,00:00:43:03
130,GABO_TENSE_No time to Bake_DH_02 noDRM.wav.new,00:52:07:06,00:52:28:17,00:00:21:11
131,GABO_QUIRKY_STICKYBEAKS_604_CT_10 noPNOnSTGnMARIMBAnGTR.wav.new,00:52:28:24,00:52:53:24,00:00:25:00
132,GBBO 12_Sticky Parchment Paper v1.03 TIDEWAY_2mx.wav.new,00:53:14:10,00:53:48:09,00:00:33:24
133,GABO_ACTION_CHEFS_604_V2_CT,00:54:13:04,00:55:33:06,00:01:20:02
134,Rising Tension Bake Xmas_CYMBALS_Howe.wav.new,00:55:16:13,00:55:22:07,00:00:05:19
135,GBBO Light Busy Tension_Hi Perc & Cymbals_Howe.wav.new,00:55:17:03,00:55:23:14,00:00:06:11
136,GBBO Icing Tension_2mx_Howe.wav.new,00:55:45:01,00:56:13:18,00:00:28:17
137,Elefat107_Trk8_Cymbal_H_Sam_Music-05.,00:56:08:24,00:56:20:24,00:00:12:00
138,GBBO 12_Neutral Croissant v1.01 TIDEWAY_2mx.wav.new,00:56:24:22,00:57:08:17,00:00:43:20
139,GABO_TENSION_Bake the Tension_107_DH_01 FULL.wav.new,00:57:38:16,00:57:59:14,00:00:20:23
140,Elefat107_Trk8_Cymbal_H_Sam_Music-05.,00:57:57:09,00:58:09:09,00:00:12:00
141,GABO_TENSION_Bake the Tension_107_DH_03 noSTRnoLEAD.wav.new,00:57:59:00,00:58:03:21,00:00:04:21
142,Bakewell Counting 03_VIBRAPHONE_Howe.wav.new,00:58:11:12,00:58:17:12,00:00:06:00
143,GABO_TENSE_KITCHEN_DRAMA_308_DR_11 noSTRNGS.wav.new,00:58:17:17,00:59:21:11,00:01:03:19
144,GABO_TENSE_MIXER_011v2_AA,00:59:19:00,00:59:46:17,00:00:27:17
145,GABO_TENSE_BURNT_609_CT_01 FULL.wav.new,00:59:50:16,01:00:09:24,00:00:19:08
146,Ticking Cells v2 02_Mallets_Howe.wav.new,00:59:50:16,01:00:09:18,00:00:19:02
147,Sugar Jam 00_Howe_2mx.wav.new,01:00:08:23,01:00:50:02,00:00:41:04
148,GABO_POSITIVE_CANDLE_014_AA_07 noSTR.wav.new,01:00:51:07,01:01:29:00,00:00:37:18
149,Light Whisk,01:01:25:12,01:01:41:15,00:00:16:03
150,GBBO 11_The Happy Blender v1.04_2mx_TH.wav.new,01:02:17:24,01:03:21:22,00:01:03:23
151,Tense Mallet Cake 00_MIX_Howe.wav.new,01:03:21:18,01:03:54:04,00:00:32:11
152,Win Some Lose Some,01:03:53:19,01:04:09:01,00:00:15:07
153,GABO_TENSE_DREDGE_016_AA_STR.wav.new,01:04:07:02,01:04:23:02,00:00:16:00
154,Win Some Lose Some 00_MIX_Howe.wav.new,01:04:22:03,01:05:25:11,00:01:03:08
155,3s_FOXTEL_new.new,01:05:23:21,01:05:26:21,00:00:03:00
